Data Table for Weekly Deaths - The United States
Date generated: Thu Jun 26 2025 12:22:57 GMT-0600 (Mountain Daylight Time)
Geography,Date,Weekly Deaths,Death Data As Of
United States,Jun 14 2025,58,Jun 18 2025
United States,Jun  7 2025,128,Jun 18 2025
United States,May 31 2025,173,Jun 18 2025
United States,May 24 2025,181,Jun 18 2025
United States,May 17 2025,211,Jun 18 2025
United States,May 10 2025,256,Jun 18 2025
United States,May  3 2025,284,Jun 18 2025
United States,Apr 26 2025,325,Jun 18 2025
United States,Apr 19 2025,381,Jun 18 2025
United States,Apr 12 2025,364,Jun 18 2025
United States,Apr  5 2025,415,Jun 18 2025
United States,Mar 29 2025,481,Jun 18 2025
United States,Mar 22 2025,467,Jun 18 2025
United States,Mar 15 2025,499,Jun 18 2025
United States,Mar  8 2025,610,Jun 18 2025
United States,Mar  1 2025,698,Jun 18 2025
United States,Feb 22 2025,732,Jun 18 2025
United States,Feb 15 2025,750,Jun 18 2025
United States,Feb  8 2025,834,Jun 18 2025
United States,Feb  1 2025,937,Jun 18 2025
United States,Jan 25 2025,961,Jun 18 2025
United States,Jan 18 2025,998,Jun 18 2025
United States,Jan 11 2025,1047,Jun 18 2025
United States,Jan  4 2025,904,Jun 18 2025
United States,Dec 28 2024,677,Jun 18 2025
United States,Dec 21 2024,595,Jun 18 2025
United States,Dec 14 2024,570,Jun 18 2025
United States,Dec  7 2024,502,Jun 18 2025
United States,Nov 30 2024,499,Jun 18 2025
United States,Nov 23 2024,474,Jun 18 2025
United States,Nov 16 2024,530,Jun 18 2025
United States,Nov  9 2024,560,Jun 18 2025
United States,Nov  2 2024,601,Jun 18 2025
United States,Oct 26 2024,645,Jun 18 2025
United States,Oct 19 2024,738,Jun 18 2025
United States,Oct 12 2024,807,Jun 18 2025
United States,Oct  5 2024,973,Jun 18 2025
United States,Sep 28 2024,1034,Jun 18 2025
United States,Sep 21 2024,1104,Jun 18 2025
United States,Sep 14 2024,1242,Jun 18 2025
United States,Sep  7 2024,1228,Jun 18 2025
United States,Aug 31 2024,1358,Jun 18 2025
United States,Aug 24 2024,1253,Jun 18 2025
United States,Aug 17 2024,1082,Jun 18 2025
United States,Aug 10 2024,1069,Jun 18 2025
United States,Aug  3 2024,984,Jun 18 2025
United States,Jul 27 2024,856,Jun 18 2025
United States,Jul 20 2024,735,Jun 18 2025
United States,Jul 13 2024,593,Jun 18 2025
United States,Jul  6 2024,533,Jun 18 2025
United States,Jul  6 2024,533,Jun 18 2025
United States,Jun 29 2024,443,Jun 18 2025
United States,Jun 22 2024,432,Jun 18 2025
United States,Jun 15 2024,366,Jun 18 2025
United States,Jun  8 2024,314,Jun 18 2025
United States,Jun  1 2024,325,Jun 18 2025
United States,May 25 2024,344,Jun 18 2025
United States,May 18 2024,340,Jun 18 2025
United States,May 11 2024,334,Jun 18 2025
United States,May  4 2024,426,Jun 18 2025
United States,Apr 27 2024,429,Jun 18 2025
United States,Apr 20 2024,499,Jun 18 2025
United States,Apr 13 2024,573,Jun 18 2025
United States,Apr  6 2024,631,Jun 18 2025
United States,Mar 30 2024,738,Jun 18 2025
United States,Mar 23 2024,851,Jun 18 2025
United States,Mar 16 2024,1042,Jun 18 2025
United States,Mar  9 2024,1102,Jun 18 2025
United States,Mar  2 2024,1269,Jun 18 2025
United States,Feb 24 2024,1326,Jun 18 2025
United States,Feb 17 2024,1390,Jun 18 2025
United States,Feb 10 2024,1622,Jun 18 2025
United States,Feb  3 2024,1745,Jun 18 2025
United States,Jan 27 2024,2135,Jun 18 2025
United States,Jan 20 2024,2366,Jun 18 2025
United States,Jan 13 2024,2586,Jun 18 2025
United States,Jan  6 2024,2496,Jun 18 2025
United States,Dec 30 2023,2231,Jun 18 2025
United States,Dec 23 2023,1936,Jun 18 2025
United States,Dec 16 2023,1845,Jun 18 2025
United States,Dec  9 2023,1793,Jun 18 2025
United States,Dec  2 2023,1732,Jun 18 2025
United States,Nov 25 2023,1424,Jun 18 2025
United States,Nov 18 2023,1431,Jun 18 2025
United States,Nov 11 2023,1395,Jun 18 2025
United States,Nov  4 2023,1246,Jun 18 2025
United States,Oct 28 2023,1292,Jun 18 2025
United States,Oct 21 2023,1394,Jun 18 2025
United States,Oct 14 2023,1315,Jun 18 2025
United States,Oct  7 2023,1398,Jun 18 2025
United States,Sep 30 2023,1456,Jun 18 2025
United States,Sep 23 2023,1418,Jun 18 2025
United States,Sep 16 2023,1410,Jun 18 2025
United States,Sep  9 2023,1313,Jun 18 2025
United States,Sep  2 2023,1187,Jun 18 2025
United States,Aug 26 2023,1067,Jun 18 2025
United States,Aug 19 2023,921,Jun 18 2025
United States,Aug 12 2023,752,Jun 18 2025
United States,Aug  5 2023,673,Jun 18 2025
United States,Jul 29 2023,553,Jun 18 2025
United States,Jul 22 2023,540,Jun 18 2025
United States,Jul 15 2023,510,Jun 18 2025
United States,Jul  8 2023,492,Jun 18 2025
United States,Jul  1 2023,542,Jun 18 2025
United States,Jun 24 2023,583,Jun 18 2025
United States,Jun 17 2023,612,Jun 18 2025
United States,Jun 10 2023,633,Jun 18 2025
United States,Jun  3 2023,693,Jun 18 2025
United States,May 27 2023,742,Jun 18 2025
United States,May 20 2023,759,Jun 18 2025
United States,May 13 2023,838,Jun 18 2025
United States,May  6 2023,946,Jun 18 2025
United States,Apr 29 2023,1028,Jun 18 2025
United States,Apr 22 2023,1197,Jun 18 2025
United States,Apr 15 2023,1217,Jun 18 2025
United States,Apr  8 2023,1373,Jun 18 2025
United States,Apr  1 2023,1449,Jun 18 2025
United States,Mar 25 2023,1668,Jun 18 2025
United States,Mar 18 2023,1761,Jun 18 2025
United States,Mar 11 2023,1849,Jun 18 2025
United States,Mar  4 2023,2000,Jun 18 2025
United States,Feb 25 2023,2154,Jun 18 2025
United States,Feb 18 2023,2101,Jun 18 2025
United States,Feb 11 2023,2347,Jun 18 2025
United States,Feb  4 2023,2642,Jun 18 2025
United States,Jan 28 2023,2914,Jun 18 2025
United States,Jan 21 2023,3258,Jun 18 2025
United States,Jan 14 2023,3688,Jun 18 2025
United States,Jan  7 2023,3871,Jun 18 2025
United States,Dec 31 2022,3688,Jun 18 2025
United States,Dec 24 2022,3387,Jun 18 2025
United States,Dec 17 2022,3218,Jun 18 2025
United States,Dec 10 2022,3051,Jun 18 2025
United States,Dec  3 2022,2609,Jun 18 2025
United States,Nov 26 2022,2516,Jun 18 2025
United States,Nov 19 2022,2282,Jun 18 2025
United States,Nov 12 2022,2216,Jun 18 2025
United States,Nov  5 2022,2266,Jun 18 2025
United States,Oct 29 2022,2243,Jun 18 2025
United States,Oct 22 2022,2265,Jun 18 2025
United States,Oct 15 2022,2159,Jun 18 2025
United States,Oct  8 2022,2200,Jun 18 2025
United States,Oct  1 2022,2399,Jun 18 2025
United States,Sep 24 2022,2573,Jun 18 2025
United States,Sep 17 2022,2531,Jun 18 2025
United States,Sep 10 2022,2826,Jun 18 2025
United States,Sep  3 2022,2950,Jun 18 2025
United States,Aug 27 2022,3055,Jun 18 2025
United States,Aug 20 2022,3183,Jun 18 2025
United States,Aug 13 2022,3290,Jun 18 2025
United States,Aug  6 2022,3387,Jun 18 2025
United States,Jul 30 2022,3414,Jun 18 2025
United States,Jul 23 2022,3246,Jun 18 2025
United States,Jul 16 2022,2940,Jun 18 2025
United States,Jul  9 2022,2608,Jun 18 2025
United States,Jul  2 2022,2427,Jun 18 2025
United States,Jun 25 2022,2339,Jun 18 2025
United States,Jun 18 2022,2211,Jun 18 2025
United States,Jun 11 2022,2146,Jun 18 2025
United States,Jun  4 2022,2016,Jun 18 2025
United States,May 28 2022,1955,Jun 18 2025
United States,May 21 2022,1747,Jun 18 2025
United States,May 14 2022,1687,Jun 18 2025
United States,May  7 2022,1435,Jun 18 2025
United States,Apr 30 2022,1433,Jun 18 2025
United States,Apr 23 2022,1355,Jun 18 2025
United States,Apr 16 2022,1414,Jun 18 2025
United States,Apr  9 2022,1604,Jun 18 2025
United States,Apr  2 2022,1945,Jun 18 2025
United States,Mar 26 2022,2514,Jun 18 2025
United States,Mar 19 2022,3138,Jun 18 2025
United States,Mar 12 2022,4414,Jun 18 2025
United States,Mar  5 2022,6072,Jun 18 2025
United States,Feb 26 2022,8304,Jun 18 2025
United States,Feb 19 2022,11571,Jun 18 2025
United States,Feb 12 2022,15347,Jun 18 2025
United States,Feb  5 2022,18758,Jun 18 2025
United States,Jan 29 2022,20973,Jun 18 2025
United States,Jan 22 2022,21350,Jun 18 2025
United States,Jan 15 2022,19091,Jun 18 2025
United States,Jan  8 2022,15128,Jun 18 2025
United States,Jan  1 2022,11678,Jun 18 2025
United States,Dec 25 2021,10458,Jun 18 2025
United States,Dec 18 2021,10250,Jun 18 2025
United States,Dec 11 2021,9734,Jun 18 2025
United States,Dec  4 2021,8781,Jun 18 2025
United States,Nov 27 2021,7886,Jun 18 2025
United States,Nov 20 2021,7310,Jun 18 2025
United States,Nov 13 2021,7159,Jun 18 2025
United States,Nov  6 2021,7287,Jun 18 2025
United States,Oct 30 2021,7960,Jun 18 2025
United States,Oct 23 2021,8941,Jun 18 2025
United States,Oct 16 2021,9878,Jun 18 2025
United States,Oct  9 2021,11180,Jun 18 2025
United States,Oct  2 2021,12830,Jun 18 2025
United States,Sep 25 2021,14347,Jun 18 2025
United States,Sep 18 2021,15211,Jun 18 2025
United States,Sep 11 2021,15417,Jun 18 2025
United States,Sep  4 2021,15493,Jun 18 2025
United States,Aug 28 2021,14174,Jun 18 2025
United States,Aug 21 2021,12181,Jun 18 2025
United States,Aug 14 2021,9406,Jun 18 2025
United States,Aug  7 2021,6484,Jun 18 2025
United States,Jul 31 2021,4105,Jun 18 2025
United States,Jul 24 2021,2760,Jun 18 2025
United States,Jul 17 2021,1991,Jun 18 2025
United States,Jul 10 2021,1645,Jun 18 2025
United States,Jul  3 2021,1543,Jun 18 2025
United States,Jun 26 2021,1635,Jun 18 2025
United States,Jun 19 2021,1776,Jun 18 2025
United States,Jun 12 2021,2035,Jun 18 2025
United States,Jun  5 2021,2347,Jun 18 2025
United States,May 29 2021,2770,Jun 18 2025
United States,May 22 2021,3238,Jun 18 2025
United States,May 15 2021,3678,Jun 18 2025
United States,May  8 2021,4006,Jun 18 2025
United States,May  1 2021,4165,Jun 18 2025
United States,Apr 24 2021,4601,Jun 18 2025
United States,Apr 17 2021,4450,Jun 18 2025
United States,Apr 10 2021,4313,Jun 18 2025
United States,Apr  3 2021,4197,Jun 18 2025
United States,Mar 27 2021,4461,Jun 18 2025
United States,Mar 20 2021,4893,Jun 18 2025
United States,Mar 13 2021,5725,Jun 18 2025
United States,Mar  6 2021,6731,Jun 18 2025
United States,Feb 27 2021,8654,Jun 18 2025
United States,Feb 20 2021,10807,Jun 18 2025
United States,Feb 13 2021,13519,Jun 18 2025
United States,Feb  6 2021,17034,Jun 18 2025
United States,Jan 30 2021,20322,Jun 18 2025
United States,Jan 23 2021,23687,Jun 18 2025
United States,Jan 16 2021,25692,Jun 18 2025
United States,Jan  9 2021,25974,Jun 18 2025
United States,Jan  2 2021,24845,Jun 18 2025
United States,Dec 26 2020,23364,Jun 18 2025
United States,Dec 19 2020,22314,Jun 18 2025
United States,Dec 12 2020,20913,Jun 18 2025
United States,Dec  5 2020,18545,Jun 18 2025
United States,Nov 28 2020,15615,Jun 18 2025
United States,Nov 21 2020,13343,Jun 18 2025
United States,Nov 14 2020,10644,Jun 18 2025
United States,Nov  7 2020,8754,Jun 18 2025
United States,Oct 31 2020,7019,Jun 18 2025
United States,Oct 24 2020,5990,Jun 18 2025
United States,Oct 17 2020,5195,Jun 18 2025
United States,Oct 10 2020,4813,Jun 18 2025
United States,Oct  3 2020,4240,Jun 18 2025
United States,Sep 26 2020,4296,Jun 18 2025
United States,Sep 19 2020,4273,Jun 18 2025
United States,Sep 12 2020,4618,Jun 18 2025
United States,Sep  5 2020,5010,Jun 18 2025
United States,Aug 29 2020,5739,Jun 18 2025
United States,Aug 22 2020,6374,Jun 18 2025
